"Date","ABC ","ABM ","AGLD ","ASC ","AVN ","AVM ","BCB ","BOR ","BLVN ","CDN ","CIU ","CTH ","CNKS ","CFU ","CWR ","CLE ","CWP ","CZA ","DAY ","DATA ","DTC ","DES ","DCI ","EROS ","FPM ","GPK ","GOAL ","GPX ","GWP ","HAT ","HMY ","HSP ","HLO ","HGM ","INRE ","IAE ","JHD ","KAH ","MPE ","MPO ","MJW ","MAYG ","MML ","MLD ","NICL ","HAWK ","NUM ","ORA ","PDL ","PCI ","PHC ","PPN ","PTEC ","POL ","PMHL ","PURE ","PDX ","RAB ","RUS ","RCG ","RPT ","SOLA ","TNO ","RWS ","SBLM ","SQZ ","SBD ","SBT ","SEY ","SLV ","TRE ","TRC ","UEM ","VPP ","VGAS ","YNGA ","AMI ","ACHL ","CREO ","COP ","DBAY ","ELR ","FOGL ","FFY ","GKP ","HRCO ","KENZ ","LSP ","MAX ","OPG ","PLAA ","PVR ","SDIC ","TOT ","WCC "
"Mar-10",1212,248,19.5,556.5,441,121,100,52.75,123.74,50.25,228.5,404.5,122.28,12.53,128,500,100,144,96,188,291,50.5,51.25,168.95,135,528,166,319,115,260,325,657,153,131,48,139.6,590,177.5,375.2,134,255,237,223.73,210.5,349.92,23.25,150,127.33,73,14,222,87,540,4.65,150,245.2,186.25,17.62,50.5,75,65.25,188.75,40.25,325,30,87.6,166,76,142,50,88,52.75,131.6,610,200,500,366,55,450,35.7,6.5,97,129.52,31.8,85.75,140,221.15,119.4,119,63,58,3,16,33.65,607.2
"Feb-10",1041.8,265,16,517.5,464.25,93.86,109.5,63,116.02,38.5,221.25,405,126.6,9.26,135.5,521.86,123,140,100,201,260,107.75,51.25,158.27,126.2,419.8,147.45,243.5,92,260.74,299.25,735,236,96.75,54,99.68,553.98,172.25,340,117.5,248,239,209,231,363,24,151.62,125,62.75,12,218,85.21,488.76,4.05,165.23,240,167.75,18.5,48.5,69,77.77,171.25,43.54,342.31,19,70.03,168.25,64.25,135.75,52,87.5,47.13,126.63,521,200.3,491,363,50,368,32.25,6.5,81.57,153.01,36.36,81.75,149.95,212.31,116.81,116.09,60,55,3.43,18.5,30.94,455.2
"Jan-10",1050,250,17.5,470,490.28,87,106,71.75,106.22,40,219.49,424.75,120.25,10.1,152.25,611,153.5,118.75,94.38,200.25,232.62,114.5,52,164,135.43,400,145.25,271.5,87,250.5,306.3,732,270.75,88,58.15,76,573,169,340,111,235.5,241.5,164,181,343,31.5,155.72,127,51,12,215,83,499.85,3.95,132,235.5,146.5,19.55,48.92,84.75,83.08,144,48,340,11.25,68,163.88,68.09,164.03,50,87,46.5,124.26,571.5,220,480,404,49.78,355.92,31.5,6.5,73.5,150,37.73,90.5,153,212.6,118.48,122.72,81.5,55.05,3.6,29,33.36,387
"Dec-09",974.58,262,18.8,432,453,106,96.5,60.5,90.25,48,227,425,119.72,12.35,160,636,173,103,96.68,203,227,92,57.5,156,132,371.5,170.76,230,89.16,304.75,265,690,277.25,89.11,50.5,83.5,573,174,315,109.25,220.76,263,205.84,150.5,304,35,157.67,127,61.65,15,210.75,73.5,415.25,3.77,106.8,242,149.5,18.43,45,78.5,80,148,49.5,310,11,55.97,160,68,155,43,93,55,127.48,535,210,475,370,48.5,304,29.65,5.75,55.41,128.7,36.85,90,150,196.78,117.79,121,89,56,3.82,29,31.43,450
"Nov-09",920,206,22,487.5,415,94.29,102.5,61.5,87.73,55.5,228,420,143.04,12.5,173,768,145,92,98.5,215,222.5,83,52.55,142,142.75,322.5,215,237,88.2,271.5,270,690,264.64,83.5,50,51.2,535,170.5,310,105,230,240,237,160,312,37.25,161.99,122,64,14.25,242,75.12,414.5,3.9,102,242,134.5,19.5,49,85.13,96.75,119.5,52,310,11.5,49,153,72.5,174.4,44,95,54.75,123.6,608,230,485,393.25,47,310,30,5.03,54,130,34.42,113,152.71,196.58,119.75,114.1,80,51.4,3.9,29,29.98,472
"Oct-09",935,206,24.62,443,386.75,78,112.5,53,87.25,52.75,250.5,435,160,13.25,177,850,170.5,99,101,207,225,74.75,44.75,163,128.5,305,212.75,230.25,82,289.5,254.75,746.5,260,80.5,47,48.75,565,179.75,302,94.25,220.25,245,188.6,155.5,299.85,40.95,165.14,126,71,16.25,227,75,359.75,4.47,65.5,210.5,129,18.5,43.5,80.43,87,114.75,59,335,11.65,50,132,67.83,178,52,101,56.21,125.75,680,225,498,368,31.18,270.05,35.25,6.25,40.25,111.47,37.82,105.75,197,201.5,132.51,118.5,89,49.4,4.01,31,29.98,446
"Sep-09",870,206,26.1,394,395,74.75,122.5,57,89,62,256.5,396,201.77,16.65,205,827,170.07,125,90,217,204.75,105,37.5,200,136.5,285.5,220,247.5,85.25,285.75,263.5,765,261,79,50.5,42.65,479.7,184.25,330,95,220,227,182.6,149,291.85,35.25,163.87,129.38,64,18.25,267,79.25,386,4.92,56.7,248,123.75,19.54,39.25,83.5,107.75,152.5,55,300,12.35,54.5,250,69.75,170,70,108.5,55.25,125.25,585,208.5,496,383.25,26.31,283.5,31,6.67,34,126,37.09,87.25,205,184.69,126.57,117.5,80,48.73,4.3,33.5,31.43,345
"Aug-09",713.5,206,22,350,325,77,122.5,47.8,87.56,61,189.5,355,143,10.2,207.5,919.5,113.82,91,94.5,247.5,190,62,33.25,184.5,87,304,194,230,92.7,262,307.75,588,226,67,50,48.45,432,180,325,86,218,180,131,120,277,39.25,155.4,116,39,14,247,71,318.33,4.67,60,292.5,143.5,21.25,27.17,66,90,175.75,48,275,8.5,62.25,3250,65.25,162.4,61.5,114,56,115,536,160.6,455,314,21.38,290,35.22,6.75,27.35,106,39.67,75,190,175.05,126.5,130,70,46,3.95,32,28.3,327.25
"Jul-09",750,206,20.88,330,308,77.25,120,57,80.81,54.5,216.75,320,138,8.85,226,930.5,86,85,85.5,252,166,59.75,36.5,137.4,69,282.5,181.5,177,77,229.75,297,500,199.82,55,46,41.9,439.75,156.75,335,85.38,195,168,134,115,240,41.75,129.97,94,32.25,11,200,63,285.09,3.9,61,240,80.5,23.75,28.65,60,67.87,164,44.5,310,4.88,60,2522,59.57,79.6,65.5,100,54.75,113.25,550,107.5,459.97,315,18.42,304.85,29.01,5.6,30.5,95,30.96,12,114.25,173.1,119.75,117,61.5,46.7,3.24,22,27.62,259
"Jun-09",705,206,21.19,347.5,251.99,84,125,40.05,65.39,49,196.75,320,146,8.25,195,868.37,124.9,76.5,62,277,32.72,45.75,38.5,139.05,69.1,283,202.5,187.75,75,221.43,247.5,485,191,49,43,36.75,435,124,322,76,188,173.28,115,110,250,31.75,129.03,100,42,9.75,200.05,45.5,442.66,3.75,52.13,242,72,22.44,27.42,62.5,62.6,169.51,39,283,4.25,55.5,3298,57.75,91.6,83.25,100.25,53.03,112.19,469,87,475,235,16.44,276,30.65,7.5,28.15,90,26.91,13,96.25,149.28,115.96,121.75,57,50,3.45,20.5,25.73,179.9
