,"AAL.L","ABF.L","ADM.L","AGK.L","AMEC.L","ANTO.L","ARM.L","ATST.L","AU.L","AV.L","AZN.L","BA.L","BARC.L","BATS.L","BAY.L","BG.L","BLND.L","BLT.L","BNZL.L","BP.L","III.L","BSY.L","BT-A.L","BRBY.L","CNE.L","CPI.L","CCL.L","CNA.L","COB.L","CPG.L","DGE.L","ENRC.L","EXPN.L","FRES.L","GFS.L","GSK.L","HMSO.L","HSBA.L","IAP.L","IMT.L","ISAT.L","IHG.L","IPR.L","ITRK.L","ISYS.L","INVP.L","JMAT.L","KAZ.L","KGF.L","LAND.L","LGEN.L","LII.L","LLOY.L","LMI.L","LSE.L","EMG.L","MKS.L","MRW.L","NG.L","NXT.L","OML.L","PSON.L","PFC.L","PRU.L","RRS.L","RB.L","REL.L","REX.L","RIO.L","RR.L","RBS.L","RDSA.L","RSA.L","SAB.L","SGE.L","SBRY.L","SDR.L","SDRC.L","SSE.L","SGRO.L","SRP.L","SVT.L","SHP.L","SN.L","SMIN.L","STAN.L","SL.L","TSCO.L","TCG.L","TT.L","TLW.L","ULVR.L","UU.L","VED.L","VOD.L","WTB.L","WOS.L","WPP.L","XTA.L"
Mar-10,2695.40909090909,964.704545454546,1271.68181818182,1124.48203636364,778.295454545455,1002,228.890909090909,,1742.54909545455,390.490909090909,2955.04545454545,380.159090909091,349.063636363636,2271.15909090909,236.386363636364,1171.20454545455,465.795454545455,2204.68181818182,718.704545454546,622.054545454546,281.845454545454,578.386363636364,121.772727272727,694.551768181818,386.145454545455,741.204545454545,2636.77272727273,290.031818181818,253.640909090909,509.063636363636,1095.40909090909,1146.95454545455,637.886363636364,833.039713636363,269.968181818182,1259.56818181818,390.772727272727,688.45,370.577272727273,2075.5,771.1223,997.318181818182,326.177272727273,1400.98082727273,338.121781818182,528.827963636364,1714.13636363636,1508.09090909091,223.054545454545,671.227272727273,81.1204545454546,494.668181818182,57.9409090909091,1986.68560454545,720.909090909091,243.618181818182,354.490909090909,298.5,649.386363636364,2034,121.972727272727,999.909090909091,1087.98704849465,528.318181818182,4978.77272727273,3542.54545454545,510.531818181818,290.527272727273,3739.25,0.093605,41.8868181818182,1909.15909090909,126.363636363636,1898.31818181818,245.218181818182,332.931818181818,1360.45454545455,1117.27272727273,1116.68181818182,328.65,587.5,,1469.90909090909,679.613636363636,1093.81818181818,1743.56818181818,205.154545454545,,,,,,,,,,,,
Feb-10,2377.975,907.475,1172.95,919.43104,774.025,873.7,200.56365,,1539.36883,374.635,2819.65,353.475,290.145,2139.875,207.845,1149.75,447.015,1937.85,641.875,574.08,262.855,533.7,123.765,620.258765,335.44,719.825,2310.35,272.275,233.525,458.525,1042.15,969.275,606.85,733.200845,260.195,1219.775,387.235,677.4,335.18,2039.7,719.463165,905.65,325.135,1204.507045,310.75164,438.983805,1545.75,1294.35,210.56,638.95,74.71,462.83,50.68525,1832.134165,650.55,227.99,336.13,296.71,637.125,1914.3,104.9675,879.475,930.69595757528,589.625,4544.55,3309.85,489.11,285.15,3268.35,0.100234782608696,34.1355,1758.45,129.435,1706.8,228.845,327.305,1168.3,965.325,1152.7,314.455,512.285,,1297.6,652,1021.7,1478.5,195.71,,,,,,,,,,,,
Jan-10,2659.725,862.55,1145.3,918.994055,772.075,985.1,189.86303,,1547.838875,404.865,2985.4,363.02,296.9125,2045.475,200.035,1191.925,454.005,2010.375,643.65,615.715,277.58,560.025,142.595,607.749035,348.695,730.6,2226.15,280.4,241.68,452.52,1064.7,969.65,603.85,774.437195,260.225,1274.05,395.585,702.58,421.38,1984.9,682.159115,917.275,314.63,1231.16025,310.048545,442.424675,1566.15,1374.85,225.365,669.525,80.7525,482.905,54.678,1981.98934,686.5,289.72,363.535,290.925,649.8,2006.05,108.26,883.4,912.25389820172,615.8,4914.1,3253.9,506.485,292.38,3440.95,0.0902388888888889,35.2435,1852.775,126.9,1765.85,233.505,328.165,1310.35,1042.875,1173.75,333.4,519.805,,1232.4,635.95,1017.925,1533.425,207.15,,,,,,,,,,,,
Dec-09,2636.92857142857,812.880952380952,1119.38095238095,841.359533333333,787.261904761905,927.547619047619,169.150880952381,,1491.54223333333,381.033333333333,2836.7380952381,344.861904761905,284.259523809524,1955.33333333333,196.957142857143,1102.57142857143,452.861904761905,1915.07142857143,652.095238095238,587.195238095238,276.661904761905,559.142857142857,140.633333333333,581.11609047619,2308.11904761905,730.738095238095,2125.61904761905,267.690476190476,243.833333333333,450.238095238095,1058.85714285714,893.690476190476,608.928571428571,815.723242857143,256.538095238095,1306.40476190476,398.528571428572,708.780952380952,425.647619047619,1901.04761904762,665.875047619048,883.404761904762,295.866666666667,1219.43757142857,288.539628571429,428.893076190476,1504.85714285714,1272.57142857143,230.971428571429,656.809523809524,77.6928571428571,480.795238095238,52.792380952381,1838.04382857143,728.309523809524,312.357142857143,400.457142857143,276.97619047619,654,2044.04761904762,108.77619047619,867.309523809524,912.533410831162,625.52380952381,5042.33333333333,3245.47619047619,486.3,284.080952380952,3212.52380952381,0.0972842105263158,31.0978571428571,1845.19047619048,118.233333333333,1810.7619047619,225.87619047619,320.7,1238.14285714286,1015.61904761905,1127.19047619048,334.728571428571,523.071428571429,,1190.14285714286,617.738095238095,984.666666666667,1538.80952380952,208.866666666667,,,,,,,,,,,,
Nov-09,2506.95238095238,823.785714285714,1036.90476190476,759.650452380952,820.666666666667,883.738095238095,155.403757142857,,1416.04726190476,395.352380952381,2723.16666666667,323.557142857143,318.559523809524,1935.95238095238,199.547619047619,1108.21428571429,472.67619047619,1802.61904761905,642.809523809524,584.390476190476,276.466666666667,541.238095238095,142.704761904762,577.194214285714,2880.14285714286,746.119047619048,2013.28571428571,250.780952380952,228.171428571429,408.733333333333,1020.14285714286,884.809523809524,581.119047619048,861.211390476191,247.819047619048,1249.92857142857,422.538095238095,717.195238095238,424.671428571429,1832.19047619048,629.3382,833.738095238095,266.714285714286,1257.44345714286,293.834485714286,441.240571428572,1522.7619047619,1251.28571428571,239.142857142857,688.809523809524,82.8547619047619,475.390476190476,58.7956631695238,1661.48542380952,858.047619047619,340.866666666667,372.733333333333,282.995238095238,634.5,1979.33333333333,114.004761904762,842.047619047619,916.013460890171,607.357142857143,4821.19047619048,3082.95238095238,471.133333333333,283.942857142857,3077.30952380952,0.0948772727272727,36.6307142857143,1841.80952380952,120.476190476191,1694.80952380952,219.685714285714,333.085714285714,1180.14285714286,960.761904761905,1093.95238095238,352.27619047619,523.166666666667,,1132.09523809524,565.642857142857,947.761904761905,1602.42857142857,216.704761904762,,,,,,,,,,,,
Oct-09,2189.04545454545,847.159090909091,1090.54545454545,747.935781818182,810.818181818182,815.045454545455,149.756136363636,,1516.54494090909,440.895454545455,2772.88636363636,323.077272727273,360.804545454545,1967.06818181818,211.272727272727,1110.52272727273,475.3,1759.59090909091,644.227272727273,559.722727272727,286.859090909091,564.886363636364,133.743181818182,537.864436363637,2840.72727272727,754.840909090909,2104.77272727273,246.445454545455,222.081818181818,390.495454545455,966.545454545454,907.818181818182,547.659090909091,805.647359090909,237.813636363636,1247.54545454545,408.868181818182,697.590909090909,439.713636363636,1813.63636363636,550.044122727273,813.340909090909,271.681818181818,1295.16589545455,299.132236363636,458.807022727273,1423.04545454545,1181.88636363636,228.245454545454,640.363636363636,84.8136363636364,487.304545454545,61.1514468,1634.05968181818,877.340909090909,338.809090909091,350.022727272727,273.690909090909,594.409090909091,1796.45454545455,107.693181818182,810,923.067195050218,610.522727272727,4431.13636363636,3079,465.318181818182,276.831818181818,2829.59090909091,0.094964705882353,46.5056818181818,1841.72727272727,130.65,1605.04545454545,228.622727272727,327.55,1137.59090909091,934.136363636364,1100.18181818182,366.754545454545,515.877272727273,,1036.86363636364,540.727272727273,920.136363636364,1549.81818181818,225.622727272727,,,,,,,,,,,,
Sep-09,2035.22727272727,840.681818181818,1121.54545454545,688.96835,766.022727272727,746.477272727273,134.8664,,1464.01697272727,410.8,2774.56818181818,334.909090909091,366.425,1950.81818181818,213.740909090909,1084.02272727273,492.195454545455,1680.31818181818,606.75,547.475,296.681818181818,546.659090909091,133.388636363636,486.949004545455,2651.27272727273,707.522727272727,2037.36363636364,258.740909090909,211.868181818182,351.763636363636,964.75,861.75,511.677272727273,733.993740909091,222.336363636364,1200.40909090909,415.209090909091,685.140909090909,422.768181818182,1760.54545454545,544.12015,795.181818181818,288.659090909091,1235.15546818182,294.834409090909,437.0612,1423,1061.95454545455,210.027272727273,647.681818181818,74.6022727272727,527.440909090909,70.31266236,1661.63363636364,829.409090909091,289.181818181818,364.522727272727,283.540909090909,603.318181818182,1759.59090909091,94.8113636363636,754.863636363636,881.402711878582,562.795454545455,4288.40909090909,2961.04545454545,468.35,265.559090909091,2587.65909090909,0.10125,54.5386363636364,1757.06818181818,126.172727272727,1479.13636363636,223.4,329.940909090909,1109.36363636364,932.636363636364,1146.59090909091,365.862604545455,489.209090909091,,1055.90909090909,549.954545454546,847.431818181818,1454.36363636364,200.518181818182,,,,,,,,,,,,
Aug-09,1941.65,801.75,1020.75,597.245165,743.1,746.8,125.76485,,1269.116925,383.365,2794.525,322.88,352.97,1871.9,174.425,1026.175,479.175,1578.45,547.575,514.295,289.965,537.4,134.01,471.154005,2471.5,666.275,1838.85,225.87,195.205,323.055,942.1,839.625,514.865,608.214915,216.7,1178.05,389.035,654.865,445.145,1698.35,526.715355,739.1,266.095,1130.90827,259.90437,403.5766,1410.55,914.175,211.08,603.675,69.4525,481.255,66.145925538,1445.440015,762.375,266.86,338.32,268.33,575.6,1671.8,92.3875,719.725,799.49094137128,500.685,3559.7,2775.75,437.08,251.08,2403.9,0.103166666666667,48.825,1610.175,125.36,1369.15,211.265,318.885,1013.825,861,1110.3,332.12572,430.97,,994.225,486.105,777.225,1386.7,192.225,,,,,,,,,,,,
Jul-09,1781.73913043478,779.434782608696,912.630434782609,525.209413043478,663.239130434783,660.413043478261,124.809917391304,,1286.26845652174,326.826086956522,2748.86956521739,328.717391304348,300.769565217391,1764.17391304348,129.295652173913,1036.04347826087,393.130434782609,1437.63043478261,524.521739130435,489.69347826087,242.054347826087,495.347826086956,108.845652173913,431.926152173913,2300.73913043478,698.478260869565,1668.86956521739,225.576086956522,178.839130434783,335.532608695652,897.673913043478,750.45652173913,461.445652173913,555.413078391304,214.891304347826,1122.26086956522,310.195652173913,537.523913043478,442.739130434783,1629.21739130435,545.47072173913,628.108695652174,248.728260869565,1061.47906521739,237.124491304348,366.87492173913,1225.91304347826,702.804347826087,196.904347826087,472.119565217391,58.9530434782609,410.380434782609,47.7903560008696,1158.03993043478,670.195652173913,268.45652173913,325.20652173913,254.989130434783,555.934782608696,1619.08695652174,86.9073913043478,618.804347826087,663.594879290817,402.945652173913,3830.82608695652,2842.17391304348,464.076086956522,293.673913043478,2164.26086956522,0.103,39.4439130434783,1525.47826086957,121.347826086957,1301.17391304348,181.847826086957,316.532608695652,858.217391304348,729.152173913043,1125.95652173913,35.5319735753478,415.141304347826,,851.021739130435,455.413043478261,713.673913043478,1243.52173913043,189.763043478261,,,,,,,,,,,,
Jun-09,1752.79545454545,742.681818181818,862.818181818182,544.931114285714,667.636363636364,623.681818181818,109.93530952381,279.5,1437.56647619048,340.75,2615.15909090909,335.522727272727,278.277272727273,1681.45454545455,138.759090909091,1080.36818181818,387.454545454545,1440.97727272727,502.318181818182,503.104545454545,248.619047619048,445.693181818182,97.925,391.552042857143,2414.68181818182,726.454545454545,1594.22727272727,228.852272727273,172.440909090909,343.397727272727,857.795454545455,666.113636363636,463.056818181818,609.398119047619,208.522727272727,1072.18181818182,307.5,524.626190476191,434.940476190476,1598.80952380952,528.176614285714,639.690476190476,246.107142857143,1049.03096190476,228.228428571429,340.267261904762,1184.66666666667,668.142857142857,184.214285714286,482.940476190476,60.8919047619048,403.404761904762,44.7911244,1318.64253809524,724.904761904762,273.545454545455,293.214285714286,244.404761904762,551.5,1487.38095238095,75.8119047619048,620.166666666667,595.749474875162,426,4150.04761904762,2742.61904761905,467.285714285714,286.549707,2453.60263657143,0.102454545454545,37.5202380952381,1599.66666666667,122.985714285714,1264.2380952381,182.657142857143,319.333333333333,849.380952380952,712,1141.57142857143,24.2203854578714,408.452380952381,,835.380952380952,459.392857142857,700,1192.76190476191,184.766666666667,,,,,,,,,,,,
