,"AEON","Asahi_Glass","ASAHI_KASEI","Astellas Pharma","BRIDGESTONE CORPORATION","CANON","Central Japan Railway Company","Chubu Electric Power","Chuo Mitsui Trust Holdings","Dai Nippon Printing ","DAIICHI SANKYO","DAIKIN INDUSTRIES","DAIWA HOUSE INDUSTRY","Daiwa Securities Group","DENSO CORPORATION","East Japan Railway Company","Eisai Co","FANUC","FUJIFILM Holdings Corporation","FUJITSU LIMITED","Hitachi","HONDA MOTOR","HOYA CORPORATION","INPEX CORPORATION","ITOCHU Corporation","JAPAN TOBACCO","JFE Holdings","Kao Corporation","KDDI CORPORATION","KEYENCE CORPORATION","Kirin Holdings","Kobe Steel","KOMATSU","KUBOTA CORPORATION","KYOCERA CORPORATION","Marubeni Corporation","Mitsubishi Chemical Holdings Corporation","Mitsubishi Corporation","Mitsubishi Electric Corporation","Mitsubishi Estate","Mitsubishi Heavy Industries","Mitsubishi UFJ Financial Group","MITSUI & CO","Mitsui Fudosan","Mitsui O.S.K.Lines","Mitsui Sumitomo Insurance Group Holdings","Mizuho Financial Group","MURATA MANUFACTURING COMPANY","NEC Corporation","NIDEC CORPORATION","NIKON CORPORATION","Nintendo","NIPPON OIL CORPORATION","NIPPON STEEL CORPORATION","NISSAN MOTOR ","NITTO DENKO CORPORATION","Nomura Holdings","NTT DATA CORPORATION","NTT DoCoMo","ORIX CORPORATION","Panasonic Corporation","Resona Holdings","RICOH COMPANY","ROHM COMPANY LIMITED","SECOM CO","Sekisui House","Seven & I Holdings Co","Sharp Corporation","Shin-Etsu Chemical Co","Shiseido Company","SMC CORPORATION","SOFTBANK CORP","Sompo Japan Insurance ","SONY CORPORATION","SUMITOMO CHEMICAL COMPANY","SUMITOMO CORPORATION (SUMITOMO SHOJI KAISHA)","Sumitomo Electric Industries","Sumitomo Metal Industries","Sumitomo Mitsui Financial Group","Sumitomo Realty & Development Co","SUZUKI MOTOR CORPORATION","T&D Holdings","Takeda Pharmaceutical Company Limited","TDK Corporation","The Bank of Yokohama","The Kansai Electric Power Company","The Sumitomo Trust and Banking Company","The Tokyo Electric Power Company","Tohoku Electric Power Company","Tokio Marine Holdings","Tokyo Electron Limited","TOKYO GAS","TOPPAN PRINTING CO","TORAY INDUSTRIES","TOSHIBA CORPORATION","TOYOTA MOTOR CORPORATION","West Japan Railway Company","Yahoo Japan Corporation","YAMADA DENKI "
Mar-10,973.772727272727,982.090909090909,484.818181818182,3336.36363636364,1552.5,4050.90909090909,684772.727272727,2349.36363636364,334.909090909091,96.0909090909091,1772.22727272727,3640.68181818182,1023.90909090909,464.318181818182,2604.72727272727,6190.90909090909,3494.77272727273,9298.18181818182,3042.81818181818,321.272727272727,3221.36363636364,298.909090909091,2394.68181818182,659454.545454545,775,333272.727272727,3548.63636363636,2307.63636363636,476863.636363636,20509.0909090909,1302,183.090909090909,353.090909090909,821.136363636364,8586.36363636364,559.272727272727,443.090909090909,2336,797.363636363636,1459.95454545455,358,,1509.81818181818,1561.5,618.727272727273,,186.727272727273,5007.04545454546,259.727272727273,9353.18181818182,2044,28164.5454545455,,347.363636363636,750.772727272727,3479.09090909091,667.954545454546,3892.95454545455,139950,7365.90909090909,1338.77272727273,1115,1363.31818181818,6457.27272727273,4128.86363636364,926.636363636364,2065.77272727273,1084.63636363636,5130.90909090909,2007.90909090909,11892.2727272727,2272.68181818182,,3385.68181818182,424.090909090909,1016.90909090909,1110.22727272727,269.818181818182,,3891.13636363636,2015.27272727273,2000.27272727273,169.318181818182,5806.81818181818,432.681818181818,2123.36363636364,521.409090909091,2452.86363636364,1954.36363636364,2546.18181818182,5885,400.681818181818,792.590909090909,511.772727272727,455.454545454546,3547.72727272727,314636.363636364,34463.6363636364,6541.36363636364
Feb-10,910.421052631579,914.736842105263,462.473684210526,3339.47368421053,1485.21052631579,3640.52631578947,665210.526315789,2306.84210526316,311.631578947368,88.1578947368421,1816.05263157895,3440.26315789474,964.473684210526,440.21052631579,2540.73684210526,6000,3409.21052631579,8901.05263157895,2881.52631578947,303.789473684211,3082.05263157895,302.333333333333,2302.15789473684,667578.947368421,705.578947368421,326289.47368421,3196.57894736842,2238.31578947368,485578.947368421,20008.4210526316,1320.63157894737,160.736842105263,343.526315789474,802.105263157895,8063.68421052632,521.263157894737,388.210526315789,2204.84210526316,743.947368421053,1403.05263157895,323.157894736842,,1346.26315789474,1496.78947368421,564.631578947368,,174.157894736842,4746.84210526316,240.684210526316,8712.63157894737,1932.52631578947,24605.7894736842,459.21052631579,326.473684210526,733.526315789474,3410.26315789474,655.052631578947,3942.36842105263,139342.105263158,6845.78947368421,1328.42105263158,1092.78947368421,1276.05263157895,6130.52631578947,4069.21052631579,859.157894736842,1974.68421052632,1074.84210526316,4841.57894736842,1905.42105263158,11121.5789473684,2323.73684210526,610.684210526316,3082.52631578947,404.736842105263,995.157894736842,1108.84210526316,244.947368421053,,3849.73684210526,1988.21052631579,1903.05263157895,158.105263157895,5485.26315789474,441.105263157895,2085.15789473684,501.105263157895,2444.68421052632,1878.31578947368,2464.78947368421,5565.26315789474,380.473684210526,779.578947368421,491.842105263158,441.736842105263,3361.57894736842,310578.947368421,32336.8421052632,6061.05263157895
Jan-10,867.894736842105,933.210526315789,475.578947368421,3474.21052631579,1518.31578947368,3819.73684210526,665263.157894737,2300.10526315789,333.105263157895,93.8421052631579,1962.15789473684,3567.36842105263,1029.57894736842,488.21052631579,2856.21052631579,6103.15789473684,3405,8748.42105263158,2926.73684210526,299.631578947368,3215,306.894736842105,2537.57894736842,700631.578947368,749.105263157895,326447.368421053,3463.15789473684,2205.47368421053,514684.210526316,20209.4736842105,1457.15789473684,176.263157894737,375.736842105263,882.421052631579,8279.47368421053,537.157894736842,399.368421052632,2361.89473684211,722.157894736842,1527.89473684211,337.684210526316,,1405.15789473684,1624.73684210526,577.526315789474,,180.894736842105,4910,247.894736842105,8743.68421052631,1934.52631578947,25346.3157894737,441.578947368421,367.842105263158,774.263157894737,3602.63157894737,723,3886.84210526316,135347.368421053,6910,1452.68421052632,1054.31578947368,1355.73684210526,6378.42105263158,4293.15789473684,877,1991.47368421053,1167.26315789474,5169.47368421053,1916.89473684211,11087.3684210526,2300.78947368421,614.842105263158,2975.52631578947,413.947368421053,1028.94736842105,1188.78947368421,265.473684210526,,3856.05263157895,2193.84210526316,2025.31578947368,160.052631578947,5843.15789473684,443.684210526316,2117.47368421053,499.736842105263,2444,1899.26315789474,2611.63157894737,5832.63157894737,372.526315789474,787.578947368421,517.368421052632,522.421052631579,3957.10526315789,319710.52631579,30257.3684210526,6107.8947368421
Dec-09,732.52380952381,831.238095238095,455.333333333333,3388.57142857143,1553.66666666667,3735.71428571429,631476.190476191,2238.09523809524,311.904761904762,91.0952380952381,1835.66666666667,3536.19047619048,958.666666666667,476.857142857143,2675.2380952381,6019.04761904762,3343.33333333333,8166.19047619048,2625.71428571429,251.47619047619,3027.61904761905,270.47619047619,2434.28571428571,680809.523809524,653.047619047619,295380.952380952,3411.42857142857,2186.42857142857,482000,18884.7619047619,1436.66666666667,165.571428571429,366.095238095238,840.285714285714,7778.57142857143,490.476190476191,362.190476190476,2205.95238095238,668.571428571429,1466.42857142857,318.428571428571,,1263.47619047619,1559.71428571429,484.095238095238,,168.47619047619,4488.57142857143,228.047619047619,8147.61904761905,1741.57142857143,21414.7619047619,393.857142857143,358.095238095238,739.047619047619,3257.61904761905,676.238095238095,3715.71428571429,131095.238095238,6325.71428571429,1274.66666666667,963.047619047619,1239.28571428571,6051.42857142857,4346.19047619048,805.476190476191,1931.14285714286,1108.33333333333,5057.14285714286,1832.66666666667,10476.6666666667,2151.5,586.476190476191,2572.14285714286,377.47619047619,913.666666666667,1102.28571428571,236.095238095238,,3785.71428571429,2230.71428571429,1974.66666666667,144.857142857143,5310.95238095238,430.47619047619,2128.09523809524,458.095238095238,2338.80952380952,1842.09523809524,2581.66666666667,5530.95238095238,363.904761904762,741,492.952380952381,500.952380952381,3749.52380952381,318809.523809524,27909.0476190476,5730.5
Nov-09,739.105263157895,792,436.578947368421,3257.36842105263,1419.52631578947,3380,589789.473684211,2091.31578947368,310.210526315789,93.1052631578947,1706.52631578947,3146.84210526316,907.473684210526,452.842105263158,2453.42105263158,5784.73684210526,3210,7452.63157894737,2474.47368421053,270.789473684211,2806.05263157895,264.368421052632,2186.57894736842,740842.105263158,597.421052631579,251521.052631579,2959.47368421053,2051.84210526316,463368.421052632,17742.1052631579,1421.31578947368,156.842105263158,348.842105263158,753.789473684211,7233.15789473684,457.263157894737,317.526315789474,1951.36842105263,623.473684210526,1318.10526315789,301.894736842105,,1164.31578947368,1419.21052631579,523.105263157895,,168.578947368421,4104.21052631579,238,7415.78947368421,1637.47368421053,22782.1052631579,395.789473684211,329.631578947368,643.263157894737,2788.42105263158,618.473684210526,3709.47368421053,129978.947368421,6172.1052631579,1185.89473684211,986.894736842105,1194.15789473684,5944.73684210526,4170,771.736842105263,1953.78947368421,987.947368421053,4703.15789473684,1660.68421052632,9939.47368421053,2129.73684210526,551.631578947368,2499.73684210526,353.789473684211,860.263157894737,1046.21052631579,226.526315789474,,3105,2135.68421052632,2178.57894736842,157.157894736842,4876.31578947368,430.263157894737,2019,467.526315789474,2210.26315789474,1786.89473684211,2397.89473684211,4871.57894736842,345.684210526316,740.263157894737,478,481.105263157895,3482.63157894737,311631.578947368,26476.8421052632,5315.78947368421
Oct-09,831.857142857143,768.809523809524,450.666666666667,3568.57142857143,1560.09523809524,3507.61904761905,613714.285714286,2084.52380952381,337.47619047619,103.142857142857,1753.2380952381,3157.14285714286,936.380952380952,471.952380952381,2615.47619047619,6096.66666666667,3317.14285714286,7753.33333333333,2544.28571428571,292.714285714286,2777.38095238095,317.190476190476,2012.47619047619,774857.142857143,603.095238095238,274295.238095238,3129.28571428571,2159.04761904762,492666.666666667,18077.1428571429,1415.28571428571,163.047619047619,356.380952380952,721.238095238095,7951.90476190476,463.047619047619,356.619047619048,1937.57142857143,713.52380952381,1412.2380952381,331.666666666667,,1219.66666666667,1547.09523809524,551.333333333333,,178.52380952381,4319.04761904762,278.333333333333,7300,1683.38095238095,23439.5238095238,477.666666666667,342.047619047619,653,2720.47619047619,635.619047619048,3867.61904761905,135095.238095238,5882.38095238095,1259.80952380952,1080.85714285714,1241.47619047619,6084.28571428571,4317.14285714286,773.428571428572,2103.52380952381,993.52380952381,5271.42857142857,1563.19047619048,10618.5714285714,2065.7619047619,576.52380952381,2600.2380952381,373.047619047619,913.666666666667,1160.7619047619,230.952380952381,,3316.19047619048,2129.7619047619,2390.2380952381,187.142857142857,5138.57142857143,447.714285714286,2026.14285714286,490.095238095238,2261.66666666667,1904.66666666667,2418.33333333333,5530.47619047619,365.619047619048,827.238095238095,524.952380952381,503.428571428572,3555.2380952381,320619.047619048,28736.6666666667,5688.57142857143
Sep-09,895.105263157895,765.736842105263,456.368421052632,3667.36842105263,1660.52631578947,3585.26315789474,642157.894736842,2160.52631578947,354.947368421053,108.842105263158,1898.10526315789,3317.36842105263,989.210526315789,509.21052631579,2655.52631578947,6233.68421052632,3384.21052631579,7705.26315789474,2748.42105263158,307.789473684211,2840,341.78947368421,2130,772157.894736842,643.736842105263,293531.578947368,3232.63157894737,2314.21052631579,545052.631578947,19148.4210526316,1352.26315789474,164.684210526316,372.789473684211,747.578947368421,8000,466.578947368421,404.21052631579,1889.15789473684,679.421052631579,1559.26315789474,360.315789473684,,1212.52631578947,1719.21052631579,567.736842105263,,197.631578947368,4232.63157894737,306.526315789474,6933.68421052632,1613,24350.5263157895,530.315789473684,345.315789473684,616,2875.78947368421,705.368421052632,4218.94736842105,144615.789473684,6455.26315789474,1409.78947368421,1212.36842105263,1339.84210526316,6236.31578947368,4292.1052631579,843.789473684211,2144.47368421053,1054.57894736842,5628.94736842105,1635.36842105263,10867.3684210526,2030.05263157895,612.421052631579,2522.36842105263,416.947368421053,931.052631578947,1201.47368421053,228.631578947368,,3641.05263157895,2129.21052631579,2638.42105263158,229.894736842105,5451.05263157895,472.842105263158,2128.15789473684,506.947368421053,2381.31578947368,1994.31578947368,2665,5337.89473684211,369.526315789474,874.631578947368,529.631578947368,476.578947368421,3788.42105263158,333473.684210526,30308.9473684211,6141.05263157895
Aug-09,963.333333333333,820.857142857143,471.428571428571,3638.09523809524,1730.14285714286,3494.7619047619,598666.666666667,2198.57142857143,368.190476190476,107.095238095238,1913.19047619048,3440.95238095238,1001.28571428571,557.428571428572,2841.66666666667,5677.61904761905,3380.95238095238,7578.57142857143,2827.85714285714,326,3045.95238095238,361.619047619048,2129.52380952381,730523.80952381,670.142857142857,276680.952380952,3565.71428571429,2234.04761904762,524285.714285714,18178.0952380952,1374.09523809524,180.428571428571,371.238095238095,791.666666666667,7606.66666666667,457.666666666667,438.47619047619,1918.38095238095,706,1534.71428571429,375.666666666667,,1253.28571428571,1756.14285714286,582.142857142857,,228.571428571429,4475.2380952381,333.523809523809,6751.42857142857,1676.90476190476,24939.5238095238,531.52380952381,376.619047619048,696.857142857143,2902.14285714286,814.142857142857,4035.2380952381,140319.047619048,6454.76190476191,1474.09523809524,1316.42857142857,1271.90476190476,6470.95238095238,4115.2380952381,881.809523809524,2253.57142857143,1071.42857142857,5152.85714285714,1570.42857142857,10613.8095238095,2038.09523809524,637.857142857143,2612.85714285714,459.904761904762,968.619047619048,1213.57142857143,242.285714285714,,4109.52380952381,2284.28571428571,2934.52380952381,260.047619047619,5290.47619047619,521.285714285714,2102.14285714286,544.952380952381,2406.90476190476,1968.66666666667,2783.33333333333,5085.2380952381,354.095238095238,928.428571428571,534,458.380952380952,4062.85714285714,312238.095238095,30559.0476190476,6077.61904761905
Jul-09,876.227272727273,769.409090909091,473.545454545455,3401.36363636364,1569.13636363636,3150.45454545455,578909.090909091,2281.81818181818,327.545454545455,103.863636363636,1702.27272727273,3131.36363636364,960.454545454546,539.409090909091,2554.77272727273,5702.27272727273,3343.18181818182,7560.45454545454,2970.22727272727,291.727272727273,2589.54545454545,371.863636363636,2026.95454545455,715727.272727273,647.636363636364,272959.090909091,3190.22727272727,2076.36363636364,513090.909090909,18511.3636363636,1361.31818181818,171.681818181818,343.227272727273,787.545454545455,7107.27272727273,409.772727272727,404.772727272727,1726.63636363636,602.863636363636,1495.63636363636,369.863636363636,,1112.18181818182,1614.22727272727,580.409090909091,,208.681818181818,4256.36363636364,326.727272727273,6308.18181818182,1642.77272727273,26155,511.409090909091,350.409090909091,586.636363636364,2862.27272727273,772.636363636364,3799.09090909091,138531.818181818,5565.90909090909,1296.54545454545,1339.22727272727,1174.27272727273,6710.90909090909,4005.45454545455,884.954545454545,2177.95454545455,939.318181818182,4588.63636363636,1519.09090909091,10035.9090909091,1828.54545454545,601.818181818182,2354.09090909091,433.045454545455,925.045454545455,1082.95454545455,239.863636363636,,4316.36363636364,2190.45454545455,2619.54545454545,248.904761904762,4467.27272727273,501.727272727273,2150.22727272727,478.727272727273,2446.13636363636,1988.68181818182,2600,4515.90909090909,349.954545454545,938.681818181818,463.136363636364,363.590909090909,3622.27272727273,310909.090909091,30013.6363636364,5728.18181818182
Jun-09,939.285714285714,746.238095238095,464.666666666667,3324.28571428571,1423.04761904762,3233.80952380952,617523.80952381,2175.47619047619,369.333333333333,111.238095238095,1720.90476190476,3092.14285714286,955.476190476191,641.333333333333,2376.90476190476,5717.14285714286,3311.42857142857,7737.14285714286,2847.38095238095,314.761904761905,2734.7619047619,308.571428571429,1964.57142857143,777333.333333333,692.52380952381,296128.571428571,3219.04761904762,2070.95238095238,499333.333333333,19671.9047619048,1257.47619047619,181.52380952381,372.857142857143,729.714285714286,7393.80952380952,451,418.761904761905,1867.95238095238,588.238095238095,1580.19047619048,386.333333333333,,1221.42857142857,1631.95238095238,663.904761904762,,245.380952380952,4058.57142857143,380.095238095238,5886.66666666667,1534.19047619048,25865.7142857143,578.666666666667,371.047619047619,590.571428571429,2824.04761904762,805.095238095238,3828.09523809524,140033.333333333,5950,1322.04761904762,1427.57142857143,1292.28571428571,6453.33333333333,3880.95238095238,945.666666666667,2299.52380952381,1054.71428571429,4693.80952380952,1591.61904761905,10140.9523809524,1824.2380952381,677.285714285714,2591.90476190476,431.52380952381,1012.2380952381,1037.38095238095,264.666666666667,,4303.80952380952,2111.42857142857,2782.14285714286,236.047619047619,4393.33333333333,485.952380952381,2071.19047619048,516.142857142857,2421.19047619048,1956.57142857143,2712.61904761905,4636.19047619048,346.523809523809,885.047619047619,484.095238095238,363.571428571429,3758.57142857143,315666.666666667,28537.619047619,5229.52380952381
